"","TC.num","T.confusum","T.freemani","T.madens","Location"
"1","TC000347",0,0.144486692,0.108374384,"Autosome"
"2","TC000674",0,0.035087719,0.025,"Autosome"
"3","TC000785",0,0.038647343,0.038216561,"Autosome"
"4","TC001435",0,0.038095238,0.075757576,"Autosome"
"5","TC001530",0,0.022727273,0.012987013,"Autosome"
"6","TC001648",0,0.104278075,0.183823529,"Autosome"
"7","TC001870",0,0.03196347,0.139622642,"Autosome"
"8","TC001882",0,0.021352313,0.120234604,"Autosome"
"9","TC002402",0,0.096938776,0.082474227,"Autosome"
"10","TC002511",0,0.012048193,0.090361446,"Autosome"
"11","TC002670",0,0.026785714,0.036458333,"Autosome"
"12","TC002863",0,0.046296296,0.114754098,"Autosome"
"13","TC003277",0,0.132783196,0.13986014,"Autosome"
"14","TC003469",0,0,0.021857924,"Autosome"
"15","TC003542",0,0,0,"Autosome"
"16","TC003558",0,0.099150142,0.079245283,"Autosome"
"17","TC003559",0,0.018050542,0.078498294,"Autosome"
"18","TC003688",0,0.041899441,0.10982659,"Autosome"
"19","TC003889",0,0,0.080168776,"Autosome"
"20","TC004319",0,0.095238095,0.108910891,"Autosome"
"21","TC005598",0,0.047904192,0.053254438,"Autosome"
"22","TC005694",0,0.08,0.049751244,"Autosome"
"23","TC005706",0,0.053304904,0.092348285,"Autosome"
"24","TC006026",0,0.052884615,0.123762376,"Autosome"
"25","TC006648",0,0.051282051,0.057692308,"Autosome"
"26","TC007095",0,0.025,0.05,"Autosome"
"27","TC008432",0,0.043478261,0.068965517,"Autosome"
"28","TC008749",0,0.009009009,0.018018018,"Autosome"
"29","TC009154",0,0.051792829,0.116883117,"Autosome"
"30","TC009192",0,0.05856833,0.169811321,"Autosome"
"31","TC009434",0,0.098159509,0.173716012,"Autosome"
"32","TC009523",0,0.054644809,0.100591716,"Autosome"
"33","TC009686",0,0.032520325,0.094827586,"Autosome"
"34","TC010275",0,0.10880829,0.179723502,"Autosome"
"35","TC010439",0,0.077441077,0.127508855,"Autosome"
"36","TC010584",0,0.03271028,0.01875,"Autosome"
"37","TC011077",0,0.139344262,0.145454546,"Autosome"
"38","TC011113",0,0,0,"Autosome"
"39","TC011215",0,0,0,"Autosome"
"40","TC011364",0,0.063636364,0.083832335,"Autosome"
"41","TC011365",0,0.08630137,0.040816327,"Autosome"
