"cross","mean","SE","sex","environ","sire","dam"
"p1",0.0030736181112121,0.0019846541533988,"U",1,1,1
"p2",0.026053976497814,0.0104857756937577,"U",1,2,2
"f1",0.00526392714085401,0.00238941233176541,"U",1,2,1
"rf1",0.0191581938708375,0.0107117460799994,"U",1,1,2
"f2a",0.0324183379268779,0.00664316811273257,"U",1,3,3
"rf2b",0.0190322813475523,0.00995933357633162,"U",1,3,4
"f2b",0.0499989653131782,0.0113706853600133,"U",1,4,3
"bc1a",0.0094075256307573,0.00459077927205134,"U",1,3,1
"bc1b",0.0147060958529753,0.00347038522392774,"U",1,4,1
"rbc1a",0.0158659775201129,0.00902936647011107,"U",1,1,3
"rbc1b",0.0162858229262294,0.00501613811012754,"U",1,1,4
"rbc2a",0.02440525835057,0.00555160151588399,"U",1,3,2
"rbc2b",0.0443573681488719,0.0112979115120537,"U",1,4,2
"bc2a",0.0105901811098333,0.00521118219660301,"U",1,2,3
"bc2b",0.017214778455925,0.00652252291750206,"U",1,2,4
