"cross","mean","SE","sex","environ","sire","dam"
"p1",0.370176700456204,0.112116890979489,"U",1,1,1
"p2",0.0327380952380952,0.0242048389923304,"U",1,2,2
"f1",0.0126208378088077,0.00835320650950892,"U",1,2,1
"rf1",0.0072463768115942,0.0072463768115942,"U",1,1,2
"f2a",0,1e-05,"U",1,3,3
"rf2b",0.0179945054945055,0.0100199429806796,"U",1,3,4
"f2b",0,1e-05,"U",1,4,3
"bc1a",0.0192736863461148,0.0158033679962383,"U",1,3,1
"bc1b",0.00784313725490196,0.00514789242282608,"U",1,4,1
"rbc1a",0,1e-05,"U",1,1,3
"rbc1b",0.0749391131307731,0.0430593632345464,"U",1,1,4
"rbc2a",0,1e-05,"U",1,3,2
"rbc2b",0,1e-05,"U",1,4,2
"bc2a",0.0744349845201238,0.0330898773876023,"U",1,2,3
"bc2b",0.0421626984126984,0.0197181198026402,"U",1,2,4
