"fish_id","length_cm","body_depth_cm"
"F001",17.1,6.6
"F002",23.5,7
"F003",20.1,4.8
"F004",15.9,4.6
"F005",18.3,7.3
"F006",18.2,7
"F007",17.3,7
"F008",21.5,6.8
"F009",17.3,5.3
"F010",18.8,5.9
"F011",19.8,6.8
"F012",17.4,6.9
"F013",14.9,5.1
"F014",12.9,3.9
"F015",18.8,6
"F016",17.6,5.4
"F017",20,7.7
"F018",16.5,4
"F019",19.7,6
"F020",17.5,5.4
"F021",15.7,5.1
"F022",18.6,7.9
"F023",20.3,7.3
"F024",20.6,6.8
"F025",13.9,5.6
"F026",13.6,5.2
"F027",19.6,7.2
"F028",16.8,5.7
"F029",15.4,5.6
"F030",13.9,4.9
"F031",23,5.6
"F032",17.5,4.8
"F033",18,6.1
"F034",21.2,7.1
"F035",16.8,6.3
"F036",20.1,7.1
