MaleID,Tank,length,mass,numberofmates,numberofoffspring
CTM007,1,83,23.83,0,0
CTM002,1,77,23.24,0,0
CTM039,5,81,23.58,0,0
CTM053,7,77,19.36,0,0
CTM054,7,76,22.27,0,0
CTM049,7,76,19.89,0,0
CTM090,12,74,17.62,0,0
CTM092,12,80,20.93,0,0
CTM091,12,73,17.73,0,0
CTM093,12,78,21.16,0,0
CTM096,12,76,15.27,0,0
CTM006,1,79,23.63,1,178
CTM008,1,76,18.49,1,74
CTM022,3,74,21.02,1,48
CTM018,3,75,19.64,1,174
CTM024,3,69,12.04,1,71
CTM017,3,70,16.79,1,24
CTM038,5,76,23.03,1,65
CTM036,5,77,22.68,1,128
CTM040,5,78,19.27,1,6
CTM035,5,75,17.88,1,155
CTM065,9,82,28.32,1,377
CTM072,9,66,12.49,1,90
CTM069,9,76,16.87,1,45
CTM005,1,73,24.05,2,280
CTM001,1,84,23.9,2,47
CTM004,1,77,27.96,2,427
CTM023,3,79,22,2,245
CTM020,3,78,21.46,2,452
CTM019,3,78,26.91,2,277
CTM021,3,77,22.38,2,95
CTM034,5,78,23.93,2,77
CTM033,5,78,25.91,2,224
CTM050,7,73,20.01,2,247
CTM055,7,74,21.54,2,258
CTM056,7,70,17.48,2,352
CTM051,7,74,21.08,2,15
CTM070,9,77,23.93,2,133
CTM066,9,73,18.14,2,228
CTM067,9,70,16.68,2,179
CTM068,9,72,18.46,2,160
CTM071,9,72,21.15,2,404
CTM089,12,77,18.65,2,184
CTM094,12,72,15.81,2,254
CTM003,1,73,17.54,3,309
CTM037,5,83,24.06,3,364
CTM052,7,75,19.8,3,452
CTM095,12,74,18.55,3,255
