"lifestyle risk assesment","years lived post 60"
1.59541044742605,16
3.45816993771014,11
2.36891214330487,20
4.90663654569867,17
3.95690107494923,19
4.23484003145189,13
2.19049219588173,14
4.70127831844149,7
3.04021730589349,9
3.59488964655755,13
3.53393281021149,11
4.10361349908141,18
5.7333201528147,17
5.39786379146621,19
3.76176563064652,19
4.02901780902817,13
2.8886422655776,12
3.84450365613355,9
3.63193271968239,10
4.61970634926996,11
2.11390581548624,11
3.08898029451146,11
3.4324658686563,10
5.01782981084213,19
2.60981591646991,18
2.44048918033839,13
3.22047620908084,11
3.8468516283431,18
3.12813206595882,7
1.76354056905186,12
5.25687989309443,13
4.21613401842913,10
5.35213227140752,6
1.9996993342821,5
2.52881129901166,14
4.08762794229713,25
3.30168820844341,14
1.82942964435209,14
3.53775656286307,16
4.10253919691904,11
5.85366508269841,11
2.37632250826676,10
2.95908024108769,7
4.91680382657279,13
4.72741771906783,15
2.98746459288845,18
2.50612580193507,10
4.2362435097926,19
2.96643517829653,10
2.96601180058391,17
3.96253382982703,13
3.91707611616621,12
2.44512845766159,19
4.14695548301001,12
3.03748425701086,18
3.93391159585405,18
4.50171443348559,15
3.28838119514102,17
3.8223444916402,14
3.42096103373388,13
2.81111344862226,12
2.71734789634417,13
4.61509148955241,12
3.9777948559825,14
3.53231081289793,20
4.60774594589055,18
1.84565413603209,10
2.05566152101467,18
2.23135118857043,14
3.75060708923018,17
5.86468911591009,19
2.76756653857755,15
3.49514262880705,11
2.91122806961348,14
3.32475607382399,13
2.52649950031832,11
2.30406427472726,14
4.00545762743498,13
5.35097055304391,16
3.90757426302105,15
4.82914290393162,9
2.10771187985941,19
3.79136165660703,18
3.0964857130265,10
2.87922426360244,16
2.25136546729955,13
2.95885297904881,15
1.21109989699197,15
1.2385342598585,9
3.59793601425169,14
3.89642354718915,14
3.41410159176819,14
3.32264182156734,10
2.56217022396325,20
3.74588078817821,21
4.41294130609513,7
2.48737363221985,10
4.25969312158967,17
3.07352108245898,11
3.87386188146039,12
4.21915923224155,22
3.8282113160966,19
4.25141246053496,18
3.34220200046145,19
2.58717823088211,12
3.1378366498415,5
3.16042753395983,17
3.95263659794584,11
4.71948653085854,12
3.08696072934473,15
1.77190745307385,12
3.18349857564323,17
2.85947321724616,19
4.18644250925309,14
4.32675039127719,18
3.58859209249686,9
1.54813673735226,15
4.6090742693926,10
2.18939970676481,17
3.41098916789142,17
3.11118681292637,10
2.96994950862117,4
3.73820330230037,13
1.70592590725756,20
2.70606621600856,22
3.30088173139628,12
4.30169076263227,6
4.12657322445658,15
1.60704211252734,13
3.71333383971263,14
4.2881406215312,9
4.60149102940237,13
6.0513311229913,13
5.12684988451109,14
5.88438123722622,17
1.41117885076614,12
4.64574542378609,23
5.08551675837658,14
3.670578662736,17
4.4140229206155,15
3.48019137986866,22
5.6574721700877,20
4.35027750186069,16
3.03486210891204,7
3.99629023123286,14
2.52483865988851,13
3.67289381205328,13
4.15522673456507,19
2.12417783663491,7
5.47007212024573,10
1.0833241030771,11
3.13426851147339,11
2.07475824684404,16
3.01497791867524,8
3.5518388228239,14
2.44445071161008,11
2.06034214123371,19
4.36675682975562,9
2.8682126674385,11
4.10981630277275,15
4.13796690461998,12
3.27421676955753,16
4.35303350711769,14
1.65825689515222,8
3.444211644043,15
2.6968282055084,16
3.47755051794718,10
3.67142875378645,22
4.57965305506984,13
2.08749302973356,13
3.45314640541555,8
5.12359941022412,13
3.70710994351644,19
4.35506547079119,7
3.26750381306463,16
1.46188648626692,17
3.84567746511305,20
3.79778911059349,10
3.49590694494172,11
4.91801468404238,14
4.08592622892414,16
5.4307490832946,17
3.31758056893341,17
2.8299227148031,10
4.06983636045433,13
2.14506814429464,22
4.4719199933165,21
3.30246376800095,20
5.09959168242805,11
4.80274733289447,15
3.43968631628204,19
4.06388292255655,12
2.23386844243638,9
3.71830478531463,16
3.69394075329297,15
3.28216737140624,18
3.91361918447327,17
1.86566770001301,20
1.65808907046096,14
4.29762545102421,18
2.12697680114815,20
3.18054041348206,17
2.5576752494011,16
4.40694582901847,13
2.59370511790184,14
3.32915498842098,14
3.50506456509002,17
4.11145680962816,6
3.57105717786248,12
3.39243669575645,18
3.26746249835889,15
3.47331760797515,15
2.96959619633729,7
2.08687503371619,7
4.71851816075059,17
3.20273069656231,18
3.76895984662319,14
3.60288332465591,17
3.52194126319012,9
2.68607076154925,14
2.7160227263503,20
5.48674525367883,11
1.89756578638965,13
3.88779785491125,13
2.97712732131832,12
3.54791565650512,16
4.47581370384744,15
4.37181447537847,10
3.89474035100692,7
3.26983521859854,7
2.07389728554031,21
